time, angle
40.941, 0.888372589
40.958, 0.88662726
40.974, 0.876155285
40.991, 0.860447321
41.008, 0.836012712
41.024, 0.808087444
41.041, 0.771435529
41.058, 0.733038286
41.074, 0.687659725
41.091, 0.642281165
41.108, 0.591666616
41.124, 0.539306739
41.141, 0.485201532
41.158, 0.431096325
41.174, 0.376991118
41.191, 0.319395253
41.208, 0.258308729
41.225, 0.198967535
41.241, 0.13962634
41.258, 0.076794487
41.275, 0.017453293
41.291, -0.043633231
41.308, -0.106465084
41.325, -0.165806279
41.341, -0.228638132
41.358, -0.289724656
41.375, -0.34906585
41.391, -0.410152374
41.408, -0.469493569
41.425, -0.528834763
41.441, -0.586430629
41.458, -0.644026494
41.475, -0.692895713
41.491, -0.741764932
41.508, -0.780162176
41.525, -0.813323431
41.541, -0.842994029
41.558, -0.867428638
41.575, -0.884881931
41.592, -0.897099236
41.608, -0.904080553
41.625, -0.904080553
41.642, -0.895353906
41.658, -0.883136602
41.675, -0.86219265
41.692, -0.834267382
41.708, -0.818559419
41.725, -0.780162176
41.742, -0.743510261
41.758, -0.696386372
41.775, -0.647517152
41.792, -0.591666616
41.808, -0.534070751
41.825, -0.478220215
41.842, -0.41887902
41.858, -0.356047167
41.875, -0.294960644
41.892, -0.232128791
41.909, -0.171042267
41.925, -0.108210414
41.942, -0.04712389
41.959, 0.015707963
41.975, 0.078539816
41.992, 0.144862328
42.009, 0.205948852
42.025, 0.267035376
42.042, 0.32637657
42.059, 0.383972435
42.075, 0.438077642
42.092, 0.493928178
42.109, 0.546288056
42.125, 0.598647933
42.142, 0.645771823
42.159, 0.689405055
42.175, 0.731292957
42.192, 0.767944871
42.209, 0.797615468
42.226, 0.823795407
42.242, 0.842994029
42.259, 0.855211333
42.276, 0.860447321
42.292, 0.860447321
42.309, 0.855211333
42.326, 0.842994029
42.342, 0.823795407
42.359, 0.801106127
42.376, 0.771435529
42.392, 0.736528944
42.409, 0.696386372
42.426, 0.65275314
42.442, 0.602138592
42.459, 0.551524044
42.476, 0.497418837
42.492, 0.441568301
42.509, 0.383972435
42.526, 0.32637657
42.543, 0.268780705
42.559, 0.216420827
42.576, 0.16231562
42.593, 0.16231562
42.609, 0.034906585
42.626, -0.026179939
42.643, -0.083775804
42.659, -0.144862328
42.676, -0.204203522
42.693, -0.263544717
42.709, -0.321140582
42.726, -0.380481777
42.743, -0.439822972
42.759, -0.495673508
42.776, -0.549778714
42.793, -0.600393263
42.809, -0.65275314
42.826, -0.696386372
42.843, -0.750491578
42.859, -0.776671517
42.876, -0.809832773
42.893, -0.834267382
42.91, -0.855211333
42.926, -0.870919297
42.943, -0.879645943
42.96, -0.879645943
42.976, -0.874409955
42.993, -0.86393798
43.01, -0.844739358
43.026, -0.820304748
43.043, -0.79237948
43.06, -0.757472895
43.076, -0.715584993
43.093, -0.692895713
43.11, -0.651007811
43.126, -0.598647933
43.143, -0.544542727
43.16, -0.486946861
43.176, -0.429350996
43.193, -0.370009801
43.21, -0.308923278
43.227, -0.246091425
43.243, -0.183259571
43.26, -0.122173048
43.277, -0.059341195
43.293, 0
43.31, 0.062831853
43.327, 0.123918377
43.343, 0.183259571
43.36, 0.242600766
43.377, 0.301941961
43.393, 0.359537826
43.41, 0.415388362
43.427, 0.469493569
43.443, 0.521853446
43.46, 0.568977336
43.477, 0.616101226
43.493, 0.659734457
43.51, 0.69987703
43.527, 0.736528944
43.544, 0.766199542
43.56, 0.790634151
43.577, 0.809832773
43.594, 0.825540736
43.61, 0.834267382
43.627, 0.837758041
43.644, 0.834267382
43.66, 0.825540736
43.677, 0.808087444
43.694, 0.787143493
43.71, 0.757472895
43.727, 0.726056969
